nofinesset,nofinessej,rs_courte,rs_longue,telephone,departement_code,departement_nom,ville_cp,categorie_libelle,categorie_groupe_libelle,statut_juridique_lib,siret
010000024,010780054,CH DE FLEYRIAT,CENTRE HOSPITALIER DE BOURG-EN-BRESSE FLEYRIAT,0474454647,01,AIN,01440 VIRIAT,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26010004500012
010000032,010780062,CH BUGEY SUD,CENTRE HOSPITALIER BUGEY SUD,0479425959,01,AIN,01300 BELLEY,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26010003700068
010000065,010780096,CH DE TREVOUX - MONTPENSIER,CENTRE HOSPITALIER DE TREVOUX - MONTPENSIER,0474105000,01,AIN,01606 TREVOUX CEDEX,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26010028400017
010000081,010780112,CH DU PAYS DE GEX,CENTRE HOSPITALIER DU PAYS DE GEX,0450403838,01,AIN,01174 GEX CEDEX,"Centre hospitalier, ex Hôpital local",Hôpitaux Locaux,Etablissement public de santé,26010010200011
010000099,010780120,CH DE MEXIMIEUX,CENTRE HOSPITALIER DE MEXIMIEUX,0474610177,01,AIN,01800 MEXIMIEUX,"Centre hospitalier, ex Hôpital local",Hôpitaux Locaux,Etablissement public de santé,26010013600019
010000107,010780138,CH DE PONT DE VAUX,CENTRE HOSPITALIER DE PONT DE VAUX,0385308000,01,AIN,01190 PONT DE VAUX,"Centre hospitalier, ex Hôpital local",Hôpitaux Locaux,Etablissement public de santé,26010020100052
010000115,010009132,CHI AIN VAL DE SAONE - PONT VEYLE,CH INTERCOMMUNAL AIN VAL DE SAONE - PONT DE VEYLE,0385362350,01,AIN,01290 PONT DE VEYLE,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,
010000131,010009132,CHI AIN VAL DE SAONE - THOISSEY,CH INTERCOMMUNAL AIN VAL DE SAONE - THOISSEY,0474049900,01,AIN,01140 THOISSEY,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,20003004700076
010000180,010007987,CH PUBLIC HAUTEVILLE - UNITE ESPERANCE,CENTRE HOSPITALIER PUBLIC DE HAUTEVILLE - UNITE ESPERANCE,0474408250,01,AIN,01110 PLATEAU D HAUTEVILLE,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26011019200044
010000198,010007987,CH PUBLIC HAUTEVILLE - UNITE INTERDEPT,CENTRE HOSPITALIER PUBLIC DE HAUTEVILLE - UNITE INTERDEPT,0474408165,01,AIN,01110 PLATEAU D HAUTEVILLE,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26011019200051
010000214,010007987,CH PUBLIC HAUTEVILLE - UNITE ALBARINE,CENTRE HOSPITALIER PUBLIC DE HAUTEVILLE - UNITE ALBARINE,0474408169,01,AIN,01110 PLATEAU D HAUTEVILLE,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26011019200028
010000495,010783009,CENTRE PSYCHOTHERAPIQUE DE L'AIN,CENTRE PSYCHOTHERAPIQUE DE L'AIN,0474522911,01,AIN,01012 BOURG EN BRESSE CEDEX,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,77554456200108
010002251,010783009,HDJ ADULTES CHATILLON,HDJ ADULTES CHATILLON,0474522406,01,AIN,01400 CHATILLON SUR CHALARONNE,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,77554456201403
010005239,010008407,CH DU HAUT BUGEY - GEOVREISSET,CENTRE HOSPITALIER DU HAUT BUGEY - GEOVREISSET,0474731001,01,AIN,01108 OYONNAX CEDEX,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26011021800112
010005379,010010718,HAD DE L'HOPITAL PRIVE D'AMBERIEU,HAD DE L'HOPITAL PRIVE D'AMBERIEU,0482995900,01,AIN,01500 AMBERIEU EN BUGEY,Hospitalisation à Domicile,Traitements et Soins à Domicile,Non concerné,
010007904,010783009,HDJ ADULTES MONTLUEL,HDJ ADULTES MONTLUEL,0474522440,01,AIN,01120 MONTLUEL,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,
010007920,010783009,HDJ ADULTES AMBERIEU,HDJ ADULTES AMBERIEU,0474522498,01,AIN,01500 AMBERIEU EN BUGEY,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,77554456201031
010008217,010783009,HDJ ADULTES BOURG-EN-BRESSE,HDJ ADULTES BOURG-EN-BRESSE,0474522497,01,AIN,01000 BOURG EN BRESSE,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,77554456200900
010008993,010783009,HDJ ENFANTS LA PASSERELLE BOURG,HDJ ENFANTS LA PASSERELLE BOURG-EN-BRESSE,0474522710,01,AIN,01000 BOURG EN BRESSE,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,77554456201213
